                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8322,                 4.6265,                 4.0897,                0.00054,                0.12826,                0.00059,                0.00015,                 2.3646,                 4.6779,                 4.1046,             0.00026664,             0.00026664,             0.00026664
                      2,                 2.5205,                 3.9261,                 3.7237,                0.00058,                0.13976,                0.00067,                0.00016,                 2.2768,                  4.558,                 4.0548,             0.00053361,             0.00053361,             0.00053361
                      3,                 2.3965,                 3.5613,                 3.3914,                 0.0009,                0.13422,                0.00089,                0.00029,                 2.0097,                 4.4011,                 3.7972,             0.00078958,             0.00078958,             0.00078958
                      4,                 2.3684,                 3.4489,                 3.2186,                0.67454,                0.15106,                0.12328,                0.04807,                 2.0431,                 10.086,                 2.9204,              0.0010346,              0.0010346,              0.0010346
                      5,                 2.1778,                 3.1654,                 3.0154,                0.60948,                  0.112,                0.01475,                0.00524,                 1.6702,                 4.2449,                 2.7031,               0.001023,               0.001023,               0.001023
                      6,                 2.0493,                 3.0079,                 2.8792,                0.43916,                0.06789,                 0.3021,                0.11802,                 1.8594,                 3.4796,                 2.9857,               0.001001,               0.001001,               0.001001
                      7,                 2.0131,                 2.8248,                 2.8081,                 0.0176,                0.88489,                0.23485,                0.14397,                 1.6556,                 3.6647,                 3.2148,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.9345,                 2.6512,                 2.6686,                0.00185,                  0.173,                0.01312,                0.00477,                 2.1907,                 4.5797,                 3.8501,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.8144,                 2.5333,                 2.5612,                0.99777,                 0.1625,                 0.3034,                0.15271,                 1.6315,                 3.8511,                 2.7105,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.7919,                 2.3686,                 2.5283,                0.47025,                0.87844,                0.67735,                0.42001,                 1.2935,                  2.069,                 2.2014,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.8112,                 2.3241,                 2.5407,                0.39955,                 0.5158,                0.63821,                0.27104,                 1.8765,                 2.5064,                 2.6126,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.6651,                 2.2122,                 2.3736,                0.50368,                0.85859,                0.76145,                0.41965,                 1.3762,                 2.0878,                 2.3531,             0.00086902,             0.00086902,             0.00086902
                     13,                  1.657,                 2.0722,                 2.3519,                0.79391,                 0.4043,                0.47624,                0.27724,                 1.3346,                 2.9182,                 2.4141,             0.00084703,             0.00084703,             0.00084703
